LOCATION,VALUE
Argentina,16.6
Australia,1.3
Austria,0.9
Belgium,0.9
Brazil,3.2
Bulgaria,1.7
Canada,1.3
Chile,648.8
China (People's Republic of),6.8
Colombia,2951.3
Costa Rica,567.5
Croatia,6.6
Cyprus,0.9
Czech Republic,23.4
Denmark,6.6
Estonia,0.9
Euro area (19 countries),0.9
European Union (28 countries),0.9
Finland,0.9
Former Yugoslav Republic of Macedonia,54.7
France,0.9
Germany,0.9
Greece,0.9
Hungary,274.4
Iceland,106.8
India,65.1
Indonesia,13380.9
Ireland,0.9
Israel,3.6
Italy,0.9
Japan,112.2
Korea,1 130.4
Latvia,0.9
Lithuania,0.9
Luxembourg,0.9
Malta,0.9
Mexico,18.9
Netherlands,0.9
New Zealand,1.4
Norway,8.3
Peru,3.3
Poland,3.8
Portugal,0.9
Romania,4.1
Russia,58.3
Saudi Arabia,3.8
Slovak Republic,0.9
Slovenia,0.9
South Africa,13.3
Spain,0.9
Sweden,8.5
Switzerland,1
Turkey,3.6
United Kingdom,0.8
United States,1
